"id","title","body","department","sentiment"
"362","Colazione ok","Buffet colazione nella norma, varietà accettabile. Prezzi eccessivi per la qualità offerta.","F&B","neutral"
"74","Pulizia eccellente","Stanza sempre pulita e ordinata, cambio asciugamani ogni giorno.","Housekeeping","positive"
"375","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose. Servizio da rivedere completamente.","F&B","positive"
"156","Check-out rapido","Check-out velocissimo senza problemi, personale efficiente.","Reception","positive"
"105","Camera disordinata","Camera disordinata e sporca, lenzuola con macchie. Prezzo troppo alto per quello che offre.","Housekeeping","negative"
"395","Cibo nella media","Ristorante con cibo ok, servizio sufficiente.","F&B","neutral"
"378","Colazione fantastica","Colazione abbondante e varia, prodotti freschi e di qualità.","F&B","positive"
"125","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine. Torneremo sicuramente.","Housekeeping","positive"
"69","Camera ok","Camera pulita ma un po' vecchia, nel complesso accettabile. Rapporto qualità-prezzo ottimo.","Housekeeping","neutral"
"451","Esperienza mista","Camera pulita ma personale poco disponibile, colazione nella media.","Reception","negative"
"10","Stanza ben tenuta","Camera pulita e ben curata, tutto funzionante e in ordine.","Housekeeping","positive"
"195","Servizio pessimo","Pessimo servizio, personale incompetente e maleducato. Disorganizzazione totale.","Reception","negative"
"407","Pranzo buonissimo","Pranzato al ristorante, tutto ottimo e porzioni generose.","F&B","positive"
"85","Pulizia eccellente","Stanza sempre pulita e ordinata, cambio asciugamani ogni giorno.","Housekeeping","positive"
"372","Colazione ricca","Buffet colazione molto ricco, c'è davvero di tutto.","F&B","positive"
"389","Ristorante deludente","Ristorante molto deludente, cibo freddo e poco gustoso. Prezzi eccessivi per la qualità offerta.","F&B","negative"
"496","Alcune criticità","Reception cortese ma tempi lunghi, camera pulita, cibo discreto.","Reception","neutral"
"31","Camera standard","Camera normale, pulita quanto basta, niente di particolare.","Housekeeping","neutral"
"317","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti. Cibo immangiabile.","F&B","positive"
"409","Colazione sufficiente","Colazione standard, scelta discreta, prodotti nella media.","F&B","neutral"
"491","Nel complesso ok","Buona pulizia camera, colazione sufficiente, personale a volte scortese.","Housekeeping","neutral"
"492","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"281","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"357","Colazione ok","Buffet colazione nella norma, varietà accettabile.","F&B","neutral"
"77","Ottima pulizia","Personale di pulizia molto efficiente, camera sempre impeccabile.","Housekeeping","positive"
"462","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"498","Valutazione media","Ristorante buono, però check-in caotico e camera non perfetta.","F&B","neutral"
"212","Check-out rapido","Check-out velocissimo senza problemi, personale efficiente. Personale molto professionale.","Reception","positive"
"102","Soggiorno nella norma","Stanza accettabile, pulizia sufficiente, nulla da segnalare. Prezzo troppo alto per quello che offre.","Housekeeping","neutral"
"335","Colazione scarsa","Colazione molto scarsa, poca scelta e prodotti di bassa qualità.","F&B","negative"
"476","Bene ma non benissimo","Check-in veloce, però la stanza aveva dei problemi di pulizia.","Housekeeping","negative"
"337","Colazione ok","Buffet colazione nella norma, varietà accettabile. Complimenti allo chef.","F&B","neutral"
"441","Bar fornitissimo","Bar ben fornito, personale cordiale e prezzi giusti.","F&B","positive"
"174","Ottima organizzazione","Reception ben organizzata, nessun problema durante il soggiorno.","Reception","positive"
"3","Niente di speciale","Camera standard, pulizia sufficiente, prezzo nella norma. Esperienza da dimenticare.","Housekeeping","neutral"
"334","Servizio lento","Servizio al ristorante lentissimo, cibo arrivato freddo.","F&B","negative"
"410","Colazione ok","Buffet colazione nella norma, varietà accettabile. Prezzi eccessivi per la qualità offerta.","F&B","neutral"
"71","Camera perfetta","Camera spaziosa, pulita e ben organizzata. Complimenti al personale. Consiglio vivamente questo hotel.","Housekeeping","positive"
"210","Attesa infinita","Tempi di attesa assurdi per il check-in, personale lento.","Reception","negative"
"64","Nella media","Stanza nella media, pulizia discreta, esperienza ok.","Housekeeping","neutral"
"385","Ottimo cibo","Cibo delizioso e servizio al tavolo impeccabile. Prezzi eccessivi per la qualità offerta.","F&B","positive"
"94","Bagno sporco","Il bagno era sporco, presenza di capelli e macchie evidenti.","Housekeeping","negative"
