"id","title","body","department","sentiment"
"1","Pulizia impeccabile","La camera era davvero pulita, ogni dettaglio curato. Il letto era comodo e le lenzuola profumate. Il personale delle pulizie ha fatto un lavoro eccellente.","Housekeeping","positive"
"2","Camera sempre in ordine","Durante il nostro soggiorno di 5 giorni, la camera è stata pulita quotidianamente con grande professionalità. Asciugamani sempre freschi.","Housekeeping","positive"
"3","Ottimo comfort","Letto king size comodissimo, camera spaziosa e luminosa. Tutto funzionante e pulito. Ci siamo trovati benissimo.","Housekeeping","positive"
"4","Camera standard","Camera nella media per la categoria. Pulizia accettabile ma niente di eccezionale. Va bene per un soggiorno breve.","Housekeeping","neutral"
"5","Tutto ok","Camera senza particolari pregi o difetti. Pulita quanto basta, arredamento un po' datato ma funzionale.","Housekeeping","neutral"
"6","Nella norma","Stanza conforme alle aspettative per il prezzo pagato. Pulizia discreta, comfort sufficiente.","Housekeeping","neutral"
"7","Delusione totale","Camera sporca all'arrivo, polvere sui mobili e capelli nel bagno. Ho dovuto chiedere di ripulire.","Housekeeping","negative"
"8","Manutenzione carente","Camera vecchia con evidenti problemi di manutenzione. Macchie sul tappeto, rubinetti che perdono, aria condizionata rumorosa.","Housekeeping","negative"
"9","Pessima pulizia","Lenzuola con macchie, bagno sporco. Durante il soggiorno di 3 giorni non hanno mai pulito nonostante le richieste.","Housekeeping","negative"
"10","Staff fantastico","Il personale della reception è stato eccezionale! Ci hanno aiutato con consigli sui ristoranti e prenotazioni. Check-in rapidissimo.","Reception","positive"
"11","Accoglienza calorosa","Siamo stati accolti con grande professionalità e gentilezza. Hanno risolto subito un problema con la prenotazione.","Reception","positive"
"12","Servizio di alto livello","Reception sempre disponibile 24/7. Personale multilingue, competente e sorridente. Consigliatissimo!","Reception","positive"
"13","Servizio standard","Check-in senza problemi ma niente di memorabile. Personale educato ma un po' distaccato.","Reception","neutral"
"14","Reception funzionale","Tutto ok alla reception, tempi di attesa accettabili. Nulla da segnalare in particolare.","Reception","neutral"
"15","Nella media","Staff cortese ma non particolarmente disponibile. Check-in veloce, check-out normale.","Reception","neutral"
"16","Disorganizzazione totale","Attesa di 45 minuti per il check-in con personale confuso e scortese. Hanno perso la prenotazione.","Reception","negative"
"17","Pessima esperienza","Staff maleducato e incompetente. Hanno dato informazioni sbagliate su orari e servizi. Mai più!","Reception","negative"
"18","Servizio inesistente","Reception chiusa in orari indicati come aperti. Nessuna assistenza durante il soggiorno. Deludente.","Reception","negative"
"19","Colazione da 10","Buffet colazione incredibile! Vasta scelta di prodotti freschi, dolci e salati. Personale attento e cordiale.","F&B","positive"
"20","Ristorante top","Cenato al ristorante dell'hotel e devo dire che è stato fantastico. Piatti gourmet, porzioni giuste, vini eccellenti.","F&B","positive"
"21","Cibo eccellente","La qualità del cibo è davvero alta. Colazione con prodotti tipici locali, tutto fresco e buonissimo.","F&B","positive"
"22","Colazione sufficiente","Buffet nella media, scelta limitata ma prodotti discreti. Va bene per iniziare la giornata.","F&B","neutral"
"23","Ristorante ok","Cibo accettabile, niente di speciale ma nemmeno male. Prezzi in linea con la zona.","F&B","neutral"
"24","Nella media","Colazione standard da hotel, nulla di particolare. Prodotti industriali ma freschi.","F&B","neutral"
"25","Colazione scarsissima","Colazione molto deludente, poca scelta e prodotti di bassa qualità. Caffè imbevibile.","F&B","negative"
"26","Ristorante pessimo","Cibo freddo, servizio lentissimo e porzioni minuscole a prezzi esagerati. Meglio andare fuori.","F&B","negative"
"27","Qualità scadente","Prodotti scadenti a colazione, pane duro, frutta marcia. Il bar ha prezzi assurdi per la qualità offerta.","F&B","negative"
"28","Esperienza contrastante","Ottima posizione e camera pulita, ma personale poco disponibile. Colazione discreta ma troppo affollata.","Reception","neutral"
"29","Bene e male","Camera spaziosa e pulita ma rumorosa. Staff gentile ma check-in molto lento. Colazione buona.","Housekeeping","neutral"
"30","Aspettative non soddisfatte","Per il prezzo pagato mi aspettavo di più. Camera ok ma servizio reception disorganizzato. Colazione nella media.","Reception","negative"
"31","Ottimo rapporto qualità-prezzo","Non è un 5 stelle ma per il prezzo è perfetto. Camera pulita, personale gentile, colazione abbondante.","Housekeeping","positive"
"32","Soggiorno piacevole","Nel complesso una bella esperienza. Qualche piccola pecca ma nulla di grave. Lo consiglierei.","Reception","positive"
"33","Migliorabile","L'hotel ha potenziale ma servizio colazione da rivedere. Camera ok, staff gentile ma poco formato.","F&B","neutral"
"34","Attenzione ai dettagli","Le cameriere sono molto attente. Hanno notato che preferivo acqua frizzante e me l'hanno lasciata in camera ogni giorno. Piccoli gesti che fanno la differenza!","Housekeeping","positive"
"35","Problema risolto velocemente","Il primo giorno l'aria condizionata non funzionava ma hanno mandato subito un tecnico. Camera pulitissima e letto comodissimo.","Housekeeping","positive"
"36","Colazione con vista","La sala colazione ha una vista fantastica! Cibo buono, caffè eccellente, servizio al tavolo impeccabile.","F&B","positive"
"37","Reception professionale","Check-in alle 2 di notte senza problemi. Il ragazzo della reception ci ha dato una mappa e consigli utilissimi per visitare la città.","Reception","positive"
"38","Rumore insopportabile","Camera affacciata su strada trafficata, impossibile dormire. Nessun isolamento acustico. Inoltre scarsa pulizia.","Housekeeping","negative"
"39","Promesse non mantenute","Sul sito promettevano servizi che non esistono. La reception ha dato informazioni false sui trasporti.","Reception","negative"
"40","Cibo di pessima qualità","A colazione prodotti confezionati scadenti. Il ristorante serve piatti surgelati riscaldati male. Prezzi altissimi.","F&B","negative"
"41","Meglio di quanto pensassi","Ero scettico leggendo alcune recensioni negative, ma mi sono ricreduto. Camera pulita, staff cortese, ottima colazione.","Housekeeping","positive"
"42","Aspettative troppo alte","Dopo aver letto ottime recensioni sono rimasto deluso. Camera nella media, servizio lento.","Reception","neutral"
