id,title,body,department,sentiment,date,week
145,Camera impeccabile,"La camera era pulitissima, letto comodo e tutto perfettamente in ordine.",Housekeeping,positive,2024-01-01,1
319,Ristorante deludente,"Ristorante molto deludente, cibo freddo e poco gustoso.",F&B,negative,2024-01-01,1
260,Servizio pessimo,"Pessimo servizio, personale incompetente e maleducato.",Reception,negative,2024-01-01,1
287,Servizio accettabile,"Personale della reception cortese, check-in normale.",Reception,neutral,2024-01-01,1
337,Colazione ok,"Buffet colazione nella norma, varietà accettabile. Complimenti allo chef.",F&B,neutral,2024-01-01,1
482,Bene ma non benissimo,"Check-in veloce, però la stanza aveva dei problemi di pulizia.",Housekeeping,negative,2024-01-01,1
301,Bar caro,"Prezzi del bar esagerati, qualità molto bassa. Servizio da rivedere completamente.",F&B,negative,2024-01-02,1
262,Problemi prenotazione,"Problemi con la prenotazione, reception non ha saputo risolvere. Servizio decisamente migliorabile.",Reception,negative,2024-01-02,1
445,Colazione ricca,"Buffet colazione molto ricco, c'è davvero di tutto.",F&B,positive,2024-01-02,1
62,Pulizia scarsa,"Scarsa pulizia della stanza, asciugamani non cambiati per giorni.",Housekeeping,negative,2024-01-02,1
206,Personale scortese,Personale della reception poco cortese e disponibile.,Reception,negative,2024-01-02,1
405,Colazione ok,"Buffet colazione nella norma, varietà accettabile.",F&B,neutral,2024-01-03,1
37,Pulizia scarsa,"Scarsa pulizia della stanza, asciugamani non cambiati per giorni.",Housekeeping,negative,2024-01-03,1
309,Servizio lento,"Servizio al ristorante lentissimo, cibo arrivato freddo.",F&B,negative,2024-01-04,1
372,Colazione ricca,"Buffet colazione molto ricco, c'è davvero di tutto.",F&B,positive,2024-01-04,1
497,Nel complesso ok,"Buona pulizia camera, colazione sufficiente, personale a volte scortese.",Housekeeping,neutral,2024-01-04,1
189,Personale gentile,Reception sempre disponibile e cortese per qualsiasi richiesta. Disorganizzazione totale.,Reception,positive,2024-01-04,1
491,Nel complesso ok,"Buona pulizia camera, colazione sufficiente, personale a volte scortese.",Housekeeping,neutral,2024-01-04,1
